,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
0,new york,2021-09-01 00,25.0,25.0,19.2,70.03,0.0,0,,0.0,0.0,,0.4,344.0,1009.3,28.7,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
1,new york,2021-09-01 01,25.1,25.1,18.7,67.89,0.0,0,,0.0,0.0,,0.3,357.0,1009.2,100.0,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
2,new york,2021-09-01 02,25.0,25.0,19.2,70.21,0.0,0,,0.0,0.0,,0.0,0.0,1008.8,100.0,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
3,new york,2021-09-01 03,25.0,25.0,19.8,73.02,0.0,0,,0.0,0.0,,0.0,0.0,1008.8,100.0,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
4,new york,2021-09-01 04,25.0,25.0,19.9,73.31,0.0,0,,0.0,0.0,,10.5,254.0,1009.4,100.0,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
5,new york,2021-09-01 05,23.4,23.4,20.5,83.98,0.0,0,,0.0,0.0,,0.2,360.0,1009.1,100.0,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
6,new york,2021-09-01 06,23.3,23.3,18.9,75.89,0.0,0,,0.0,0.0,,9.2,262.0,1009.9,100.0,16.0,5.9,0.0,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
7,new york,2021-09-01 07,22.2,22.2,18.8,81.47,0.028,100,rain,0.0,0.0,,7.3,293.0,1010.0,89.5,15.8,8.0,0.0,0,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
8,new york,2021-09-01 08,22.1,22.1,20.0,87.44,0.303,100,rain,0.0,0.0,,12.7,49.0,1009.8,88.5,15.5,17.0,0.1,0,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
9,new york,2021-09-01 09,22.1,22.1,19.4,84.44,0.276,100,rain,0.0,0.0,,12.6,40.0,1009.6,89.5,15.5,55.0,0.2,1,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10,new york,2021-09-01 10,22.2,22.2,20.0,87.63,0.296,100,rain,0.0,0.0,,16.4,41.0,1009.5,89.5,15.5,82.0,0.3,1,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
11,new york,2021-09-01 11,22.8,22.8,19.3,80.91,0.0,0,,0.0,0.0,,21.7,51.0,1009.3,87.8,15.9,114.0,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
12,new york,2021-09-01 12,22.8,22.8,19.3,80.79,0.0,0,,0.0,0.0,29.5,22.3,41.0,1008.8,88.3,16.0,140.0,0.5,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
